BIO,review,cause,cause_ type,cause_tokenized,review_tokenized,review_tokenized_bert,cause_tokenized_bert,tagged_review_bert,emotion_keywords,emotion_ category,emotion_text,emotion
"['O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",انا بمووووووووووووووت في حاجة اسمها أدهم صبري . العدد ده ظريف جدااااا و مضحك لأقصى حد وممتع اوى,أدهم صبري . العدد ده ,شبه جملة جار و مجرور و جملة اسمية مبتدأ,"['أدهم', 'صبري', '.', 'العدد', 'ده']","['انا', 'بمووووووووووووووت', 'في', 'حاجة', 'اسمها', 'أدهم', 'صبري', '.', 'العدد', 'ده', 'ظريف', 'جدااااا', 'و', 'مضحك', 'لأقصى', 'حد', 'وممتع', 'اوى']","['انا', 'بم', '##وووووووو', '##وووو', '##وو', '##ت', 'في', 'حاجة', 'اسمها', 'اد', '##هم', 'صبري', '.', 'العدد', 'ده', 'ظريف', 'جدا', '##اااا', 'و', 'مضح', '##ك', 'لاق', '##صى', 'حد', 'وممت', '##ع', 'او', '##ى']","['اد', '##هم', 'صبري', '.', 'العدد', 'ده']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['ظريف ,joy']",3,joy,joy
"['O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",افضل كتاب قراته . الكتاب مليان حاجات تخلي الواحد يفكر فيها عمر بحاله . امتعني جدا جدا من اول صفحه لاخر صفحه محستش باي ملل في اي جزء منه . كتاب للتأمل .. للتفكير ... للجنون . من لم يغيرني بعمق لم يحيرني بصدق,الكتاب مليان حاجات تخلي الواحد يفكر فيها عمر بحاله . من اول صفحه لاخر صفحه محستش باي ملل في اي جزء منه . كتاب للتأمل .. للتفكير ... للجنون,جملة اسمية مبتدأ و شبه جملة جار و مجرور ,"['الكتاب', 'مليان', 'حاجات', 'تخلي', 'الواحد', 'يفكر', 'فيها', 'عمر', 'بحاله', '.', 'من', 'اول', 'صفحه', 'لاخر', 'صفحه', 'محستش', 'باي', 'ملل', 'في', 'اي', 'جزء', 'منه', '.', 'كتاب', 'للتأمل', '..', 'للتفكير', '...', 'للجنون']","['افضل', 'كتاب', 'قراته', '.', 'الكتاب', 'مليان', 'حاجات', 'تخلي', 'الواحد', 'يفكر', 'فيها', 'عمر', 'بحاله', '.', 'امتعني', 'جدا', 'جدا', 'من', 'اول', 'صفحه', 'لاخر', 'صفحه', 'محستش', 'باي', 'ملل', 'في', 'اي', 'جزء', 'منه', '.', 'كتاب', 'للتأمل', '..', 'للتفكير', '...', 'للجنون', '.', 'من', 'لم', 'يغيرني', 'بعمق', 'لم', 'يحيرني', 'بصدق']","['افضل', 'كتاب', 'قرات', '##ه', '.', 'الكتاب', 'ملي', '##ان', 'حاجات', 'تخلي', 'الواحد', 'يفكر', 'فيها', 'عمر', 'بحال', '##ه', '.', 'امتع', '##ني', 'جدا', 'جدا', 'من', 'اول', 'صف', '##حه', 'لاخر', 'صف', '##حه', 'محس', '##تش', 'باي', 'مل', '##ل', 'في', 'اي', 'جزء', 'منه', '.', 'كتاب', 'للت', '##امل', '.', '.', 'للتف', '##كير', '.', '.', '.', 'للجن', '##ون', '.', 'من', 'لم', 'يغير', '##ني', 'بعمق', 'لم', 'يحي', '##رن', '##ي', 'بصدق']","['الكتاب', 'ملي', '##ان', 'حاجات', 'تخلي', 'الواحد', 'يفكر', 'فيها', 'عمر', 'بحال', '##ه', '.', 'من', 'اول', 'صف', '##حه', 'لاخر', 'صف', '##حه', 'محس', '##تش', 'باي', 'مل', '##ل', 'في', 'اي', 'جزء', 'منه', '.', 'كتاب', 'للت', '##امل', '.', '.', 'للتف', '##كير', '.', '.', '.', 'للجن', '##ون']","['O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['افضل ,joy', 'ملل ,sadness']",3,joy,joy
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","رحلة العشرين عاما . بدآية رآئعة وموفقة ... قرأت تلك الحروف بملئ الشغف والنهم . كتاب .. خفيف ، يضج بالنصائح والأمل والحب . تجعل روحك خفيفة من ثقل البؤس","كتاب .. خفيف ، يضج بالنصائح والأمل والحب . تجعل روحك خفيفة من ثقل البؤس",جملة اسمية مبتدأ و جملة فعلية,"['كتاب', '..', 'خفيف', '،', 'يضج', 'بالنصائح', 'والأمل', 'والحب', '.', 'تجعل', 'روحك', 'خفيفة', 'من', 'ثقل', 'البؤس']","['رحلة', 'العشرين', 'عاما', '.', 'بدآية', 'رآئعة', 'وموفقة', '...', 'قرأت', 'تلك', 'الحروف', 'بملئ', 'الشغف', 'والنهم', '.', 'كتاب', '..', 'خفيف', '،', 'يضج', 'بالنصائح', 'والأمل', 'والحب', '.', 'تجعل', 'روحك', 'خفيفة', 'من', 'ثقل', 'البؤس']","['رحلة', 'العشرين', 'عاما', '.', 'بداية', 'رايعة', 'ومو', '##فقة', '.', '.', '.', 'قرات', 'تلك', 'الحروف', 'بمل', '##ي', 'الش', '##غف', 'والن', '##هم', '.', 'كتاب', '.', '.', 'خفيف', '،', 'يض', '##ج', 'بالن', '##صا', '##يح', 'والامل', 'والحب', '.', 'تجعل', 'روح', '##ك', 'خفيفة', 'من', 'ثقل', 'البوس']","['كتاب', '.', '.', 'خفيف', '،', 'يض', '##ج', 'بالن', '##صا', '##يح', 'والامل', 'والحب', '.', 'تجعل', 'روح', '##ك', 'خفيفة', 'من', 'ثقل', 'البوس']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']",['الأمل والحب'],3,joy,joy
"['O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']",تجربة ممتازه . موقع ممتاز ملاصق للمول . أثاث ممتاز و جديد سعر مناسب,موقع ممتاز ملاصق للمول . أثاث ممتاز و جديد سعر مناسب,جملة اسمية مبتدأ / جملة اسمية مبتدأ   و معطوفات,"['موقع', 'ممتاز', 'ملاصق', 'للمول', '.', 'أثاث', 'ممتاز', 'و', 'جديد', 'سعر', 'مناسب']","['تجربة', 'ممتازه', '.', 'موقع', 'ممتاز', 'ملاصق', 'للمول', '.', 'أثاث', 'ممتاز', 'و', 'جديد', 'سعر', 'مناسب']","['تجربة', 'ممتاز', '##ه', '.', 'موقع', 'ممتاز', 'ملا', '##صق', 'للم', '##ول', '.', 'اثاث', 'ممتاز', 'و', 'جديد', 'سعر', 'مناسب']","['موقع', 'ممتاز', 'ملا', '##صق', 'للم', '##ول', '.', 'اثاث', 'ممتاز', 'و', 'جديد', 'سعر', 'مناسب']","['O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","['ممتاز ,joy', 'ممتاز ,joy', 'مناسب ,joy']",3,joy,joy
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","رائع أقمت لمدة أيام في بداية شهر نوفمبر بالغرفة رقم في هذا الفندق الرائع، بصحبة أطفالي وزوجتي، وكانت هذه الأيام أجمل أيام قضيتها في أول زيارة إلى استراليا . أتوجه بالشكر إلى المديرين على كرمهم وبساطتهم . يمكن أن تتكرر الزيارة في العام القادم","هذا الفندق الرائع، المديرين علي كرمهم وبساطتهم",شبه جملة جار و مجرور / شبه جملة جار و مجرور ,"['هذا', 'الفندق', 'الرائع،','المديرين', 'علي', 'كرمهم', 'وبساطتهم']","['رائع', 'أقمت', 'لمدة', 'أيام', 'في', 'بداية', 'شهر', 'نوفمبر', 'بالغرفة', 'رقم', 'في', 'هذا', 'الفندق', 'الرائع،', 'بصحبة', 'أطفالي', 'وزوجتي،', 'وكانت', 'هذه', 'الأيام', 'أجمل', 'أيام', 'قضيتها', 'في', 'أول', 'زيارة', 'إلى', 'استراليا', '.', 'أتوجه', 'بالشكر', 'إلى', 'المديرين', 'على', 'كرمهم', 'وبساطتهم', '.', 'يمكن', 'أن', 'تتكرر', 'الزيارة', 'في', 'العام', 'القادم']","['رايع', 'اق', '##مت', 'لمدة', 'ايام', 'في', 'بداية', 'شهر', 'نوفمبر', 'بالغ', '##رفة', 'رقم', 'في', 'هذا', 'الفندق', 'الرايع', '،', 'بصح', '##بة', 'اطفال', '##ي', 'وزوج', '##تي', '،', 'وكانت', 'هذه', 'الايام', 'اجمل', 'ايام', 'قضيت', '##ها', 'في', 'اول', 'زيارة', 'الى', 'استراليا', '.', 'ات', '##وجه', 'بالشكر', 'الى', 'المدير', '##ين', 'على', 'كرم', '##هم', 'وبس', '##اط', '##تهم', '.', 'يمكن', 'ان', 'تتكرر', 'الزيارة', 'في', 'العام', 'القادم']","['هذا', 'الفندق', 'الرايع', '،', 'المدير', '##ين', 'علي', 'كرم', '##هم', 'وبس', '##اط', '##تهم']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['رائع ,joy']",3,joy,joy
"['O', 'O', 'O', 'B', 'I', 'I']",رائع . أعجبتني الغرف وكذلك الشاطئ,الغرف وكذلك الشاطئ,جملة فعلية  مفعول به  و  معطوف ,"['الغرف', 'وكذلك', 'الشاطئ']","['رائع', '.', 'أعجبتني', 'الغرف', 'وكذلك', 'الشاطئ']","['رايع', '.', 'اعجب', '##تني', 'الغرف', 'وكذلك', 'الشاطي']","['الغرف', 'وكذلك', 'الشاطي']","['O', 'O', 'O', 'O', 'B', 'I', 'I']","['رائع ,joy']",3,joy,joy
"['O', 'O', 'B', 'I']",راااااااااائع . كل شئ,كل شئ,جملة اسمية مبتدأ,"['كل', 'شئ']","['راااااااااائع', '.', 'كل', 'شئ']","['را', '##اااااااا', '##ايع', '.', 'كل', 'شي']","['كل', 'شي']","['O', 'O', 'O', 'O', 'B', 'I']",['راااااااااائع'],3,joy,joy
"['O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I']",ممتاز . الموظف فراس في الاستقبال يستحق كل تقدير,الموظف فراس في الاستقبال يستحق كل تقدير,جملة اسمية مبتدأ,"['الموظف', 'فراس', 'في', 'الاستقبال', 'يستحق', 'كل', 'تقدير']","['ممتاز', '.', 'الموظف', 'فراس', 'في', 'الاستقبال', 'يستحق', 'كل', 'تقدير']","['ممتاز', '.', 'الموظف', 'فراس', 'في', 'الاستقبال', 'يستحق', 'كل', 'تقدير']","['الموظف', 'فراس', 'في', 'الاستقبال', 'يستحق', 'كل', 'تقدير']","['O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I']","['ممتاز ,joy', 'تقدير ,joy']",3,joy,joy
"['O', 'O', 'O', 'O', 'B', 'I', 'I', 'I']",جيد جدا . أعجبني مطعم السلام نظافته وطهيه,مطعم السلام نظافته وطهيه,جملة فعلية مفعول به ,"['مطعم', 'السلام', 'نظافته', 'وطهيه']","['جيد', 'جدا', '.', 'أعجبني', 'مطعم', 'السلام', 'نظافته', 'وطهيه']","['جيد', 'جدا', '.', 'اعجب', '##ني', 'مطعم', 'السلام', 'نظ', '##افت', '##ه', 'وط', '##هي', '##ه']","['مطعم', 'السلام', 'نظ', '##افت', '##ه', 'وط', '##هي', '##ه']","['O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","['جيد ,joy', 'السلام ,joy']",3,joy,joy
"['O', 'O', 'B', 'I', 'O']",ممتاز . كل شى اعجبانى,كل شى,جملة اسمية مبتدأ,"['كل', 'شى']","['ممتاز', '.', 'كل', 'شى', 'اعجبانى']","['ممتاز', '.', 'كل', 'ش', '##ى', 'اعجب', '##انى']","['كل', 'ش', '##ى']","['O', 'O', 'B', 'I', 'I', 'O', 'O']","['ممتاز ,joy']",3,joy,joy
"['O', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O']","ممتاز . فندق عائلي بمعني الكلمه ،،، اشكر القائمين علي هذا الفندق",فندق عائلي بمعني الكلمه,جملة اسمية مبتدأ /  جملة فعلية مفعول به ,"['فندق', 'عائلي', 'بمعني', 'الكلمه']","['ممتاز', '.', 'فندق', 'عائلي', 'بمعني', 'الكلمه', '،،،', 'اشكر', 'القائمين', 'علي', 'هذا', 'الفندق']","['ممتاز', '.', 'فندق', 'عايلي', 'بمع', '##ني', 'الكلم', '##ه', '،', '،', '،', 'اشكر', 'القايمين', 'علي', 'هذا', 'الفندق']","['فندق', 'عايلي', 'بمع', '##ني', 'الكلم', '##ه']","['O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['ممتاز ,joy']",3,joy,joy
"['O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O']",جميل جدا هذا الكتاب . يحوي قصص واقعية .. عن حب فشل بعد الزواج,الكتاب . يحوي قصص واقعية,جملة اسمية مبتدأ و  جملة فعلية ,"['الكتاب', '.', 'يحوي', 'قصص', 'واقعية']","['جميل', 'جدا', 'هذا', 'الكتاب', '.', 'يحوي', 'قصص', 'واقعية', '..', 'عن', 'حب', 'فشل', 'بعد', 'الزواج']","['جميل', 'جدا', 'هذا', 'الكتاب', '.', 'يحوي', 'قصص', 'واقعية', '.', '.', 'عن', 'حب', 'فشل', 'بعد', 'الزواج']","['الكتاب', '.', 'يحوي', 'قصص', 'واقعية']","['O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['جميل ,joy', 'حب ,joy', 'فشل ,anger']",3,joy,joy
"['O', 'O', 'O', 'O', 'O', 'B', 'I']",من افضل الفنادق زرتها . الموقع الخدمة,الموقع الخدمة,جملة اسمية مبتدأ  ,"['الموقع', 'الخدمة']","['من', 'افضل', 'الفنادق', 'زرتها', '.', 'الموقع', 'الخدمة']","['من', 'افضل', 'الفنادق', 'زر', '##تها', '.', 'الموقع', 'الخدمة']","['الموقع', 'الخدمة']","['O', 'O', 'O', 'O', 'O', 'O', 'B', 'I']","['افضل ,joy']",3,joy,joy
"['O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","مكان مميز انصح بالاقامة فيه . المكان رائع وتم عمل ترقية مجانيه إلى جناح لعدم توفر الغرفة ، نظافة مميزة ومكان جميل وخدمة الصف للسيارات رائعه بالاضافة إلى خدمات الغرف ،، مكان هاديء رايق بكل ما تعنيه الكلمة"," المكان رائع و تم عمل ترقية مجانيه إلى جناح ، نظافة مميزة ومكان جميل وخدمة الصف للسيارات رائعه بالاضافة إلى خدمات الغرف ،، مكان هاديء رايق بكل ما تعنيه الكلمة",جملة اسمية مبتدأ   و  معطوفات ,"[ ' المكان', 'رائع', 'و', 'تم', 'عمل', 'ترقية', 'مجانيه', 'إلى', 'جناح', '،', 'نظافة', 'مميزة', 'ومكان', 'جميل', 'وخدمة', 'الصف', 'للسيارات', 'رائعه', 'بالاضافة', 'إلى', 'خدمات', 'الغرف', '،،', 'مكان', 'هاديء', 'رايق', 'بكل', 'ما', 'تعنيه', 'الكلمة']","['مكان', 'مميز', 'انصح', 'بالاقامة', 'فيه', '.', 'المكان', 'رائع', 'وتم', 'عمل', 'ترقية', 'مجانيه', 'إلى', 'جناح', 'لعدم', 'توفر', 'الغرفة', '،', 'نظافة', 'مميزة', 'ومكان', 'جميل', 'وخدمة', 'الصف', 'للسيارات', 'رائعه', 'بالاضافة', 'إلى', 'خدمات', 'الغرف', '،،', 'مكان', 'هاديء', 'رايق', 'بكل', 'ما', 'تعنيه', 'الكلمة']","['مكان', 'مميز', 'انصح', 'بالاق', '##امة', 'فيه', '.', 'المكان', 'رايع', 'وتم', 'عمل', 'ترقية', 'مجاني', '##ه', 'الى', 'جناح', 'لعدم', 'توفر', 'الغرفة', '،', 'نظافة', 'مميزة', 'ومكان', 'جميل', 'وخدمة', 'الصف', 'للسيارات', 'رايع', '##ه', 'بالاضافة', 'الى', 'خدمات', 'الغرف', '،', '،', 'مكان', 'هادي', '##ء', 'راي', '##ق', 'بكل', 'ما', 'تعني', '##ه', 'الكلمة']","['المكان', 'رايع', 'و', 'تم', 'عمل', 'ترقية', 'مجاني', '##ه', 'الى', 'جناح', '،', 'نظافة', 'مميزة', 'ومكان', 'جميل', 'وخدمة', 'الصف', 'للسيارات', 'رايع', '##ه', 'بالاضافة', 'الى', 'خدمات', 'الغرف', '،', '،', 'مكان', 'هادي', '##ء', 'راي', '##ق', 'بكل', 'ما', 'تعني', '##ه', 'الكلمة']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","['رائع ,joy', 'جميل ,joy']",3,joy,joy
"['O', 'O', 'B', 'I', 'I', 'I', 'I','I']",استثنائي . كل شي جميل ما شاء الله,كل شي جميل ما شاء الله,جملة اسمية مبتدأ  ,"['كل', 'شي', 'جميل', 'ما', 'شاء', 'الله']","['استثنائي', '.', 'كل', 'شي', 'جميل', 'ما','شاء', 'الله']","['استثنايي', '.', 'كل', 'شي', 'جميل', 'ما', 'شاء', 'الله']","['كل', 'شي', 'جميل', 'ما', 'شاء', 'الله']","['O', 'O', 'B', 'I', 'I', 'I', 'I', 'I']","['استثنائي ,surprise', 'جميل ,joy']",3,joy,joy
"['B', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I']",كتاب رائع شخصية رائعة بمعنى الكلمة . استطاع ان يحقق الكثير من الانجازات فى وقت قصير . سعدت بقراءة الكتاب,كتاب رائع شخصية رائعة بمعنى الكلمة . بقراءة الكتاب,جملة اسمية مبتدأ   /  شبه جملة جار و مجرور ,"['كتاب', 'رائع', 'شخصية', 'رائعة', 'بمعنى', 'الكلمة', '.', 'بقراءة', 'الكتاب']","['كتاب', 'رائع', 'شخصية', 'رائعة', 'بمعنى', 'الكلمة', '.', 'استطاع', 'ان', 'يحقق', 'الكثير', 'من', 'الانجازات', 'فى', 'وقت', 'قصير', '.', 'سعدت', 'بقراءة', 'الكتاب']","['كتاب', 'رايع', 'شخصية', 'رايعة', 'بمعنى', 'الكلمة', '.', 'استطاع', 'ان', 'يحقق', 'الكثير', 'من', 'الانجازات', 'فى', 'وقت', 'قصير', '.', 'سعد', '##ت', 'بقراءة', 'الكتاب']","['كتاب', 'رايع', 'شخصية', 'رايعة', 'بمعنى', 'الكلمة', '.', 'بقراءة', 'الكتاب']","['B', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I']","['رائع ,joy', 'رائعة ,surprise']",3,joy,joy
"['O', 'O', 'B', 'I']",رائع . تعامل الطاقم,تعامل الطاقم,جملة اسمية مبتدأ  ,"['تعامل', 'الطاقم']","['رائع', '.', 'تعامل', 'الطاقم']","['رايع', '.', 'تعامل', 'الطاقم']","['تعامل', 'الطاقم']","['O', 'O', 'B', 'I']","['رائع ,joy']",3,joy,joy
"['O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']",ممتاز . كل شي ممتاز في الفندق طاقم الاستقبال رائع والفندق رائع ونظيف,كل شي ممتاز في الفندق طاقم الاستقبال رائع والفندق رائع ونظيف,جملة اسمية مبتدأ   و  معطوفات ,"['كل', 'شي', 'ممتاز', 'في', 'الفندق', 'طاقم', 'الاستقبال', 'رائع', 'والفندق', 'رائع', 'ونظيف']","['ممتاز', '.', 'كل', 'شي', 'ممتاز', 'في', 'الفندق', 'طاقم', 'الاستقبال', 'رائع', 'والفندق', 'رائع', 'ونظيف']","['ممتاز', '.', 'كل', 'شي', 'ممتاز', 'في', 'الفندق', 'طاقم', 'الاستقبال', 'رايع', 'والفن', '##دق', 'رايع', 'ونظ', '##يف']","['كل', 'شي', 'ممتاز', 'في', 'الفندق', 'طاقم', 'الاستقبال', 'رايع', 'والفن', '##دق', 'رايع', 'ونظ', '##يف']","['O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","['ممتاز ,joy', 'ممتاز ,joy', 'رائع ,joy', 'رائع ,joy']",3,joy,joy
"['B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O']",تميز الاداء والخدمة والمكان . فندق رائع جدا وموظفين اروع . شكرا لكم,تميز الاداء والخدمة والمكان . فندق رائع جدا وموظفين اروع,جملة اسمية مبتدأ   و  معطوفات ,"['تميز', 'الاداء', 'والخدمة', 'والمكان', '.', 'فندق', 'رائع', 'جدا', 'وموظفين', 'اروع']","['تميز', 'الاداء', 'والخدمة', 'والمكان', '.', 'فندق', 'رائع', 'جدا', 'وموظفين', 'اروع', '.', 'شكرا', 'لكم']","['تميز', 'الاداء', 'والخدمة', 'والمكان', '.', 'فندق', 'رايع', 'جدا', 'وموظ', '##فين', 'اروع', '.', 'شكرا', 'لكم']","['تميز', 'الاداء', 'والخدمة', 'والمكان', '.', 'فندق', 'رايع', 'جدا', 'وموظ', '##فين', 'اروع']","['B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O']","['رائع ,joy']",3,joy,joy
"['O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I']",ممتاز . مسؤول الاستقبال الاستاذ محمود شخص رائع جدا,مسؤول الاستقبال الاستاذ محمود شخص رائع جدا,جملة اسمية مبتدأ   و  معطوفات ,"['مسؤول', 'الاستقبال', 'الاستاذ', 'محمود', 'شخص', 'رائع', 'جدا']","['ممتاز', '.', 'مسؤول', 'الاستقبال', 'الاستاذ', 'محمود', 'شخص', 'رائع', 'جدا']","['ممتاز', '.', 'مسوول', 'الاستقبال', 'الاستاذ', 'محمود', 'شخص', 'رايع', 'جدا']","['مسوول', 'الاستقبال', 'الاستاذ', 'محمود', 'شخص', 'رايع', 'جدا']","['O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I']","['ممتاز ,joy', 'رائع ,joy']",3,joy,joy
"['O', 'O', 'B']",جيد . الراحة,الراحة,جملة اسمية مبتدأ  ,['الراحة'],"['جيد', '.', 'الراحة']","['جيد', '.', 'الراحة']",['الراحة'],"['O', 'O', 'B']","['جيد ,joy']",3,joy,joy
